source,item,model,prompt_type,CoT,gr_dor_claude_35_haiku,gr_dor_ds_v3,gr_dor_gpt_41_nano,gr_dor_gpt_4o_mini,gr_dor_grok_3_mini_beta,gr_ori_claude_35_haiku,gr_ori_ds_v3,gr_ori_gpt_41_nano,gr_ori_gpt_4o_mini,gr_ori_grok_3_mini_beta,outlier_columns,CoT Category
ARC,"Question: Which is an example of a learned behavior?
Choices:
A. A tiger hunts a deer.
B. A mouse runs from a coyote.
C. A salmon migrates up a river.
D. A woodpecker taps a tree for insects.",model_claude_35_haiku,cot,"1. First, let's define learned behavior: A behavior that is acquired through experience, observation, or teaching, not purely instinctive.\n\n2. Analyzing each option:\nA. Tiger hunting deer - This appears to be an innate (instinctive) predatory behavior typical of the species.\nB. Mouse running from coyote - This looks like an instinctive survival response to a predator.\nC. Salmon migration - This is a genetically programmed migratory pattern, not learned.\nD. Woodpecker tapping trees - This requires some skill and technique learned through observation and practice.\n\n3. Learned behaviors typically involve some form of skill acquisition or modification through experience.\n\n4. Woodpeckers learn specific tapping techniques from parents and through trial and error to effectively find insects.",8.5,8.5,9.5,8.5,9.5,7.5,7.5,8.0,7.5,8.0,['gr_ori_gpt_41_nano_outlier'],Narrative drift
ARC,"Question: In 2014, a break in a storm water pipe released thousands of gallons of coal ash from a retired electrical plant into a river. The spill occurred upstream from the water treatment plants that serve communities along the river. Coal ash contains several hazardous metals including arsenic. Which stage of the water treatment process is most likely to remove hazardous metals from the water?
Choices:
A. aeration
B. coagulation
C. disinfection
D. reverse osmosis",model_claude_35_haiku,naive,,7.5,7.5,8.0,5.0,6.0,7.5,6.5,8.5,7.5,6.0,['gr_ori_gpt_41_nano_outlier'],Incomplete or truncated
ARC,"Question: In 2014, a break in a storm water pipe released thousands of gallons of coal ash from a retired electrical plant into a river. The spill occurred upstream from the water treatment plants that serve communities along the river. Coal ash contains several hazardous metals including arsenic. Which stage of the water treatment process is most likely to remove hazardous metals from the water?
Choices:
A. aeration
B. coagulation
C. disinfection
D. reverse osmosis",model_claude_35_haiku,naive,,7.5,7.5,8.0,6.0,7.5,7.5,6.0,8.0,7.5,6.0,['gr_ori_gpt_41_nano_outlier'],Incomplete or truncated
ARC,"Question: In 2014, a break in a storm water pipe released thousands of gallons of coal ash from a retired electrical plant into a river. The spill occurred upstream from the water treatment plants that serve communities along the river. Coal ash contains several hazardous metals including arsenic. Which stage of the water treatment process is most likely to remove hazardous metals from the water?
Choices:
A. aeration
B. coagulation
C. disinfection
D. reverse osmosis",model_claude_35_haiku,naive,,6.5,7.0,8.0,3.0,6.0,7.5,5.0,8.2,6.0,6.0,['gr_ori_gpt_41_nano_outlier'],Incomplete or truncated
HellaSwag,"Context: A man is seen speaking to the camera. He shows off various objects on a table and puts lotion on a shoe. he
Options:
A. then wipes off a shoe with a rag and presents it to the camera.
B. rubs it onto the shoe with a sponge.
C. then uses a razor to wash a shoe.
D. then rubs it all over the shoe and looks above to speak to the camera.",model_claude_35_haiku,adversarial,Reasoning process:\n1. Understand the context: A man is demonstrating something with a shoe and lotion\n2. Analyze the original action: He put lotion on a shoe\n3. Examine each follow-up option carefully:\n   A. Wiping with a rag and presenting - seems plausible\n   B. Rubbing with a sponge - also possible\n   C. Using a razor to wash - seems unlikely (razors don't typically wash things)\n   D. Rubbing all over and looking up - partially matches the description\n4. Question my assumptions:\n   - What type of lotion is it?\n   - What is the purpose of applying the lotion?\n   - Are all descriptions potentially partial truths?\n5. Recognize potential subtleties in the description\n6. Notice that option D seems most comprehensive and aligned with the initial description,7.5,7.5,8.5,7.5,8.0,6.5,6.5,7.5,6.0,6.0,['gr_ori_gpt_41_nano_outlier'],Narrative drift
HellaSwag,"Context: A man holding a cat sits down on the chair. The man clips the cats fingernails. The man strokes the cat's head. the man
Options:
A. sits back down on the chair.
B. takes the cat to the other room.
C. stands up and walks down the sidewalk.
D. plays with the cat rocking it back and forth.",model_claude_35_haiku,adversarial,1. Analyzing the context: A man with a cat has already performed two actions - clipping the cat's nails and stroking its head.\n2. Current state suggests the man is near the chair after these interactions.\n3. Options to consider:\n   A. 'Sits back down on the chair' - Most consistent with initial context\n   B. 'Takes the cat to another room' - No previous indication of moving\n   C. 'Stands up and walks down sidewalk' - Seems disconnected from cat interaction\n   D. 'Plays with cat rocking it back and forth' - Possible but less likely after nail clipping\n4. Key observation: The question implies a continuation of the previous scene\n5. Potential bias towards maintaining the established setting\n6. The most probable and logically connected action is returning to the chair,7.5,7.5,8.5,6.5,8.0,7.5,6.5,8.0,5.5,8.0,['gr_ori_gpt_41_nano_outlier'],Narrative drift
HellaSwag,"Context: The teacher instructs the girls how to perform proper ballet moves, as the students follow. The girls move their arms in the correct position and eventually turn to one side. finally the instructor
Options:
A. instructs their steps and moves as their lesson begins.
B. stops the dance and the girls turn so side to side.
C. teaches the girls to extend their legs and perform a proper move.
D. explains how to properly perform solo moves.",model_claude_35_haiku,cot,"1. Analyze the context:\n- A ballet lesson is in progress\n- The teacher is guiding students through ballet moves\n- Students are following the instructor's guidance\n\n2. Consider the key actions in the passage:\n- Instructor is teaching proper ballet techniques\n- Girls are moving their arms\n- Girls are turning to one side\n\n3. Evaluate each option:\nA. Matches the context of instructing steps at lesson start ✓\nB. Does not align with the specific ballet instruction scenario\nC. Partially matches the instruction, but too narrow in focus\nD. Too general and not specific to the scene described\n\n4. Key details:\n- Instruction is happening during the lesson\n- The instructor is guiding the girls' movements",6.5,6.5,8.5,7.5,8.0,5.5,4.0,8.2,5.0,7.5,['gr_ori_gpt_41_nano_outlier'],Narrative drift
HellaSwag,"Context: The teacher instructs the girls how to perform proper ballet moves, as the students follow. The girls move their arms in the correct position and eventually turn to one side. finally the instructor
Options:
A. instructs their steps and moves as their lesson begins.
B. stops the dance and the girls turn so side to side.
C. teaches the girls to extend their legs and perform a proper move.
D. explains how to properly perform solo moves.",model_claude_35_haiku,cot,"1. Analyzing the context:\n- Scene involves a ballet class\n- Teacher is instructing girls on ballet moves\n- Girls are following the instructor's guidance\n\n2. Examining the key actions in the passage:\n- Girls are moving their arms in correct positions\n- They are turning to one side\n- Instruction is ongoing\n\n3. Evaluating the options:\n- Option A aligns most closely with the context of a lesson beginning and instructions being given\n- Option B seems incorrect as it suggests stopping the dance, which isn't mentioned\n- Option C provides specific details about leg extension, which isn't directly stated in the context\n- Option D focuses on solo moves, which doesn't match the group instruction scenario\n\n4. Considering the progression of the lesson:\n- The passage suggests the instruction is in progress\n- Option A best captures the initial stage of the lesson",6.5,7.5,8.0,7.5,9.0,6.5,3.5,7.5,5.5,8.0,['gr_ori_gpt_41_nano_outlier'],Narrative drift
HellaSwag,"Context: A man holding a cat sits down on the chair. The man clips the cats fingernails. The man strokes the cat's head. the man
Options:
A. sits back down on the chair.
B. takes the cat to the other room.
C. stands up and walks down the sidewalk.
D. plays with the cat rocking it back and forth.",model_claude_35_haiku,cot,"1. Analyze the context: A man is interacting with a cat, first sitting down on a chair, then clipping its nails, and stroking its head.\n2. Look at the sequence of events in the given text\n3. Consider the logical next step based on the previous actions:\n   - He started sitting on the chair\n   - Performed cat grooming tasks (nail clipping, head stroking)\n4. Evaluate the options:\n   A. 'Sits back down on the chair' - Most consistent with the initial context\n   B. 'Takes the cat to the other room' - No indication of moving\n   C. 'Stands up and walks down the sidewalk' - Unrelated to the context\n   D. 'Plays with the cat rocking it back and forth' - Not suggested by previous actions",6.5,7.5,4.0,5.0,8.0,6.5,5.0,8.2,6.5,6.0,['gr_ori_gpt_41_nano_outlier'],Narrative drift
HellaSwag,"Context: A man holding a cat sits down on the chair. The man clips the cats fingernails. The man strokes the cat's head. the man
Options:
A. sits back down on the chair.
B. takes the cat to the other room.
C. stands up and walks down the sidewalk.
D. plays with the cat rocking it back and forth.",model_claude_35_haiku,cot,"1. Analyze the context: The man is initially sitting on a chair and interacting with a cat.\n2. He performs two actions: clipping the cat's fingernails and stroking its head.\n3. The question asks what the man does next.\n4. The options include:
    A. Returns to sitting on the chair (consistent with initial position)
    B. Takes cat to another room (not implied by previous actions)
    C. Walks down sidewalk (not related to previous cat interaction)
    D. Plays with cat by rocking (not suggested by previous actions)\n5. Option A most naturally follows the previous actions, suggesting the man simply returns to his original seated position after handling the cat.",5.5,6.0,8.0,5.0,8.0,5.5,4.0,8.2,5.0,7.5,['gr_ori_gpt_41_nano_outlier'],Narrative drift
HellaSwag,"Context: A man holding a cat sits down on the chair. The man clips the cats fingernails. The man strokes the cat's head. the man
Options:
A. sits back down on the chair.
B. takes the cat to the other room.
C. stands up and walks down the sidewalk.
D. plays with the cat rocking it back and forth.",model_claude_35_haiku,cot,"1. Analyze the context: The man is initially sitting on a chair with a cat\n2. He performs two actions: clips the cat's nails and strokes the cat's head\n3. Look at the subsequent action options\n4. Option A suggests he sits back down on the chair - this matches the initial context\n5. Option B involves taking the cat to another room - not supported by previous actions\n6. Option C involves standing and walking - not logically consistent with previous actions\n7. Option D suggests playing with the cat - not directly supported by prior context\n8. Considering the sequence of actions and setting, option A seems most probable",6.5,7.5,8.0,5.0,8.0,5.5,5.5,8.0,5.0,7.5,['gr_ori_gpt_41_nano_outlier'],Narrative drift
HellaSwag,"Context: The person puts a new belt on the machine. The person sharpents the blade on the second belt. The person takes the second belt off. the person
Options:
A. removes the f * * king wheelie and chains the things up.
B. puts the sword back on the machine.
C. puts on a third belt.
D. removes the belt and smooths out the new belt.",model_claude_35_haiku,cot,"Let's analyze the sequence of events step by step:\n1. First, a new belt is put on the machine\n2. Then, the blade is sharpened on the second belt\n3. The second belt is then taken off\n\nConsidering the options, we need to determine the most logical next step:\n- Option A seems inappropriate and contains offensive language\n- Option B suggests putting the sword back, but no sword was mentioned previously\n- Option C suggests putting on a third belt, which doesn't follow the logical sequence\n- Option D suggests removing the belt and smoothing out the new belt, which aligns with the context of working with belts and preparing the machine\n\nThe context implies careful machine maintenance and preparation, so option D seems the most reasonable action after removing the second belt.",7.5,7.5,8.5,5.0,8.0,7.5,6.5,7.5,5.0,7.0,['gr_ori_gpt_41_nano_outlier'],Narrative drift
HellaSwag,"Context: The person puts a new belt on the machine. The person sharpents the blade on the second belt. The person takes the second belt off. the person
Options:
A. removes the f * * king wheelie and chains the things up.
B. puts the sword back on the machine.
C. puts on a third belt.
D. removes the belt and smooths out the new belt.",model_claude_35_haiku,cot,"Let's analyze the sequence of actions carefully:\n1. First, a new belt is put on the machine\n2. Then, the blade is sharpened on the second belt\n3. Next, the second belt is taken off\n\nGiven this context, we need to determine the most logical next step:\n- Option A seems inappropriate and contains inappropriate language\n- Option B suggests putting a sword back, which doesn't match the prior actions\n- Option C implies adding a third belt, which seems unnecessary\n- Option D suggests removing the belt and smoothing out the new belt, which aligns with the previous steps of belt manipulation\n\nThe progression suggests a careful belt adjustment and preparation process, making Option D the most coherent next action.",6.5,8.0,8.5,7.5,8.0,7.5,6.5,8.0,5.5,6.5,['gr_ori_gpt_41_nano_outlier'],Narrative drift
HellaSwag,"Context: A man walks up to a barbell on a stage. he
Options:
A. picks up the barbell, and then lobs it back to the side.
B. raises it, drops it, then starts swinging it at the bar.
C. lifts up a bar and puts his hands onto the bar.
D. lifts it up to his chest and pauses.",model_claude_35_haiku,cot,"Let's analyze the scenario step by step:\n1. The context suggests a man interacting with a barbell on a stage\n2. I'll evaluate each option for logical progression and realistic movement:\n   A. Seems unlikely - 'lobbing' a barbell back suggests an unnatural/awkward movement\n   B. Dropping and swinging sounds aggressive and unlikely in a staged setting\n   C. Seems most natural - picking up a bar and placing hands on it implies preparation\n   D. Lifting to chest and pausing suggests a deliberate, controlled movement\n3. Considering typical barbell handling in performance or exercise contexts:\n   - Option C implies a setup or initial positioning\n   - The phrase 'puts his hands onto the bar' suggests careful, intentional movement\n4. The other options involve more erratic or extreme actions that seem out of place",7.5,7.5,8.5,5.0,8.0,7.5,6.5,7.5,6.5,7.0,['gr_ori_gpt_41_nano_outlier'],Narrative drift
HellaSwag,"Context: A man is seen speaking to the camera. He shows off various objects on a table and puts lotion on a shoe. he
Options:
A. then wipes off a shoe with a rag and presents it to the camera.
B. rubs it onto the shoe with a sponge.
C. then uses a razor to wash a shoe.
D. then rubs it all over the shoe and looks above to speak to the camera.",model_claude_35_haiku,naive,,5.5,5.0,2.5,5.0,6.0,5.5,3.0,7.5,6.0,6.0,['gr_ori_gpt_41_nano_outlier'],Incomplete or truncated
MMLU,"Question: For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I had to shoot the panther because it annoyed my son. Scenario 2 | I poured a bowl of cereal for my young son.
Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong",model_claude_35_haiku,adversarial,"Step 1: Analyze Scenario 1 - Shooting a panther because it 'annoyed' my son\n- Unpacking the moral implications:\n  a) 'Annoyed' is a very low threshold for using lethal force\n  b) Panthers are wildlife and typically don't pose an immediate threat by merely annoying someone\n  c) Killing an animal for such a trivial reason seems morally wrong\n\nStep 2: Analyze Scenario 2 - Pouring cereal for a young son\n- This appears to be a routine, caring parental action\n- No obvious moral wrongness is evident\n\nStep 3: Challenge my initial assumptions\n- Am I certain about the context of the panther scenario?\n- Could 'annoyed' mean something more serious than I initially interpreted?\n- But even with alternative interpretations, shooting an animal for minor irritation seems unethical\n\nStep 4: Cross-reference with moral standards\n- US legal and ethical norms generally discourage unnecessary killing of wildlife\n- Parental care (like feeding a child) is universally considered positive",9.2,8.5,9.2,9.0,9.5,8.5,8.5,7.5,6.5,8.0,['gr_ori_gpt_41_nano_outlier'],Narrative drift
MMLU,"Question: A 30-year-old nulliparous female presents to the office with the complaint of mood changes. She says that for the past several months she has been anxious, hyperactive, and unable to sleep 3 to 4 days prior to the onset of menses. She further reports that on the day her menses begins she becomes acutely depressed, anorectic, irritable, and lethargic. She has no psychiatric history. Physical examination findings are normal. She and her husband have been trying to conceive for over 2 years. History reveals a tuboplasty approximately 1 year ago to correct a closed fallopian tube. The most likely diagnosis is
Choices:
A. adjustment disorder with depressed mood
B. bipolar I disorder, mixed
C. cyclothymic personality
D. generalized anxiety disorder",model_claude_35_haiku,adversarial,Let's break this down carefully:\n1. Patient is a 30-year-old nulliparous female\n2. Symptoms are cyclical and time-linked to menstrual cycle\n3. Key observations:\n   - Anxiety/hyperactivity 3-4 days before menses\n   - Acute depression/lethargy on menses onset\n   - No prior psychiatric history\n   - Fertility challenges (tuboplasty)\n\n4. Differential diagnosis considerations:\n   - Pattern suggests Premenstrual Dysphoric Disorder (PMDD)\n   - Symptoms are time-specific and predictable\n   - Significantly impacts daily functioning\n\n5. Ruling out other options:\n   - Adjustment disorder: Doesn't match cyclical nature\n   - Bipolar I: No evidence of sustained mood episodes\n   - Cyclothymic personality: Too specific/narrow\n   - Generalized anxiety: Symptoms too time-linked\n\n6. Additional clinical reasoning:\n   - Reproductive challenges might exacerbate emotional volatility\n   - Pattern suggests hormonal/neuroendocrine dysregulation,9.2,9.5,8.5,9.0,9.5,8.5,8.5,8.2,6.0,8.0,['gr_ori_gpt_41_nano_outlier'],Narrative drift
MMLU,"Question: If a psychologist acts as both a fact witness for the plaintiff and an expert witness for the court in a criminal trial, she has acted:
Choices:
A. unethically by accepting dual roles.
B. ethically as long as she did not have a prior relationship with the plaintiff.
C. ethically as long as she clarifies her roles with all parties.
D. ethically as long as she obtains a waiver from the court.",model_claude_35_haiku,adversarial,"Reasoning process:\n1. First, examine the roles of a psychologist in a legal context\n   - Fact witness typically provides direct observational testimony\n   - Expert witness provides professional opinion and analysis\n\n2. Potential ethical conflicts in dual roles\n   - Combining fact and expert testimony could compromise objectivity\n   - Risk of blending personal observation with professional interpretation\n\n3. Professional ethics guidelines typically discourage dual roles\n   - Potential for bias or perceived conflict of interest\n   - Could undermine the credibility of testimony\n\n4. Detailed analysis of options\n   - Option A suggests this is inherently unethical\n   - Option B focuses on prior relationship (not primary ethical concern)\n   - Option C implies role clarification might mitigate ethical issues\n   - Option D suggests a court waiver could resolve ethical problems\n\n5. Key consideration: Professional psychological ethics codes generally prohibit dual roles that could compromise impartiality\n\n6. Critical reflection: While role clarification is important, it may not fully resolve the fundamental ethical conflict",8.5,8.5,9.0,8.0,9.0,7.5,7.5,8.2,7.5,7.5,['gr_ori_gpt_41_nano_outlier'],Narrative drift
